fk_periodo;fk_pais;fk_indicador;valor
11;16;1;13943016924
12;16;1;11832159276
13;16;1;12822558022
14;16;1;14169905602
15;16;1;16199434625
16;16;1;15745810235
1;17;1;26157894737
2;17;1;29869283400
3;17;1;34379808889
4;17;1;44405101470
5;17;1;54438966420
6;17;1;51999181062
7;17;1;50363282117
8;17;1;57363610380
9;17;1;54013812089
10;17;1;55591336862
11;17;1;56883172568
12;17;1;50630703922
13;17;1;53785050339
14;17;1;58950125036
15;17;1;66200847918
16;17;1;67927179737
1;18;1;13150159574
2;18;1;15968723404
3;18;1;18504760638
4;18;1;21730000000
5;18;1;25710904255
6;18;1;22938218085
7;18;1;25713271277
8;18;1;28776595745
9;18;1;30749308511
10;18;1;32539468085
11;18;1;33387712766
12;18;1;31125851064
13;18;1;32250132979
14;18;1;35423643617
15;18;1;37652500000
16;18;1;38574069149
1;19;1;915257323
2;19;1;1117113046
3;19;1;1273375020
4;19;1;1356199365
5;19;1;1611835902
6;19;1;1781455092
7;19;1;2032135247
8;19;1;2235820868
9;19;1;2333308099
10;19;1;2451625333
11;19;1;2705783272
12;19;1;3104394858
13;19;1;2959640987
14;19;1;3172292379
15;19;1;3036931818
16;19;1;3012334882
1;20;1;6179176459
2;20;1;6565043460
3;20;1;7027863025
4;20;1;8158257572
5;20;1;9748276762
6;20;1;9699586794
7;20;1;9535344283
8;20;1;10693321954
9;20;1;11141358945
10;20;1;12517845732
11;20;1;13284528654
12;20;1;11388160958
13;20;1;11821066153
14;20;1;12701656931
15;20;1;14250985959
16;20;1;14390709095
1;21;1;4484703000
2;21;1;4868136000
3;21;1;5414299000
4;21;1;5895048000
5;21;1;6109928000
6;21;1;5806378000
7;21;1;5744414000
8;21;1;5550771000
9;21;1;5537537000
10;21;1;5573710000
11;21;1;0
12;21;1;0
13;21;1;0
14;21;1;0
15;21;1;0
16;21;1;0
1;22;1;7872333215
2;22;1;9531402848
3;22;1;11470703002
4;22;1;12247694247
5;22;1;14393099069
6;22;1;10732366286
7;22;1;13707370737
8;22;1;18525319978
9;22;1;19047940300
10;22;1;18093829923
11;22;1;17098342541
12;22;1;12930394938
13;22;1;11400854268
14;22;1;12128104859
15;22;1;13567351175
16;22;1;13469422941
1;23;1;8773451739
2;23;1;9549077869
3;23;1;11451869165
4;23;1;13120183157
5;23;1;16674324634
6;23;1;17339992165
7;23;1;19649631451
8;23;1;23963033588
9;23;1;27084497540
10;23;1;30659338784
11;23;1;32996188133
12;23;1;33000198263
13;23;1;33941126194
14;23;1;37508642113
15;23;1;40287647902
16;23;1;40895322865
1;24;1;669316654017
2;24;1;891630177251
3;24;1;1107640289615
4;24;1;1397084349956
5;24;1;1695824565983
6;24;1;1667019783585
7;24;1;2208871646203
8;24;1;2616200980392
9;24;1;2465188674415
10;24;1;2472806919902
11;24;1;2455993625159
12;24;1;1802214373741
13;24;1;1795700168991
14;24;1;2062831045936
15;24;1;1885482534238
16;24;1;1839758040766
1;25;1;9055290000
2;25;1;9836200000
3;25;1;10167250000
4;25;1;10618340000
5;25;1;10526000000
6;25;1;9981960000
7;25;1;10095760000
8;25;1;10070450000
9;25;1;10720500000
10;25;1;10562700000
11;25;1;10913300000
12;25;1;11752300000
13;25;1;11938400000
14;25;1;12150400000
15;25;1;12424500000
16;25;1;12827000000
1;26;1;8957467707
2;26;1;9931134941
3;26;1;10126940513
4;26;1;10939053365
5;26;1;10945070442
6;26;1;10267133178
7;26;1;12786654366
8;26;1;15351972230
9;26;1;14420393564
10;26;1;14901750765
11;26;1;16250750259
12;26;1;14420604206
13;26;1;15646316818
14;26;1;17405538618
15;26;1;18663264706
16;26;1;18340510789
1;27;1;23144351852
2;27;1;30207567317
3;27;1;36954312354
4;27;1;45277399814
5;27;1;60763483146
6;27;1;50874078052
7;27;1;57222490769
8;27;1;61757788945
9;27;1;65685102555
10;27;1;75527984234
11;27;1;78813839984
12;27;1;56454734397
13;27;1;47722657821
14;27;1;54726595249
15;27;1;60031262269
16;27;1;63080457023
1;28;1;1051350000
2;28;1;1102050000
3;28;1;1210150000
4;28;1;1271600000
5;28;1;1351350000
6;28;1;1317300000
7;28;1;1377200000
8;28;1;1460800000
9;28;1;1522900000
10;28;1;1579400000
11;28;1;1662800000
12;28;1;1723800000
13;28;1;1775100000
14;28;1;1836600000
15;28;1;1871200000
16;28;1;1879613600
1;29;1;1023196771714
2;29;1;1169357979865
3;29;1;1315415197461
4;29;1;1464977190206
5;29;1;1549131208997
6;29;1;1371153004986
7;29;1;1613464422811
8;29;1;1788647906048
9;29;1;1828689329349
10;29;1;1847208522155
11;29;1;1803533209845
12;29;1;1556129524418
13;29;1;1528243213982
14;29;1;1649878054227
15;29;1;1716262621082
16;29;1;1736425629520
1;30;1;10297483481
2;30;1;11964484668
3;30;1;14451902468
4;30;1;16737071816
5;30;1;19788515874
6;30;1;18648373312
7;30;1;21565720044
8;30;1;25839749199
9;30;1;29306235826
10;30;1;32679745298
11;30;1;35909040266
12;30;1;37917704900
13;30;1;37134799975
14;30;1;38019265626
15;30;1;46831342213
16;30;1;47319624204
1;31;1;1270080251
2;31;1;1337362392
3;31;1;1460561215
4;31;1;1697565949
5;31;1;1985240986
6;31;1;2059094048
7;31;1;2142591376
8;31;1;2437982840
9;31;1;2510126699
10;31;1;1691544192
11;31;1;1894813505
12;31;1;1695825708
13;31;1;1825018191
14;31;1;2072350151
15;31;1;2220978978
16;31;1;2220307369
1;32;1;4648628921
2;32;1;6087003176
3;32;1;7731261311
4;32;1;8394688284
5;32;1;11859013281
6;32;1;9593537551
7;32;1;12019594809
8;32;1;14444509756
9;32;1;13677147848
10;32;1;14089855509
11;32;1;14196322768
12;32;1;8556594871
13;32;1;9041986778
14;32;1;9035182062
15;32;1;11662700148
16;32;1;10820591131
1;33;1;394163688621
2;33;1;408689353999
3;33;1;430921192375
4;33;1;479913034322
5;33;1;554363487120
6;33;1;541506500414
7;33;1;583782977866
8;33;1;699579638638
9;33;1;668043614123
10;33;1;688504173431
11;33;1;709182559935
12;33;1;679832291693
13;33;1;671309197377
14;33;1;679950482029
15;33;1;705140620047
16;33;1;703082435360
1;34;1;16554441847
2;34;1;17084928927
3;34;1;17800887796
4;34;1;20343635320
5;34;1;24224903100
6;34;1;24277493862
7;34;1;24908781285
8;34;1;25414875503
9;34;1;26789047555
10;34;1;31273074528
11;34;1;35363533866
12;34;1;45814637971
13;34;1;47964234560
14;34;1;51588158718
15;34;1;57724731365
16;34;1;58792205642
1;35;1;99210392858
2;35;1;122964812046
3;35;1;154788024806
4;35;1;173605968179
5;35;1;179638496279
6;35;1;172389498445
7;35;1;218537551220
8;35;1;252251992029
9;35;1;267122320057
10;35;1;278384345259
11;35;1;260541629961
12;35;1;243919085309
13;35;1;250440136356
14;35;1;277044950259
15;35;1;298258019275
16;35;1;282318159745
1;36;1;17430933517
2;36;1;17944084201
3;36;1;19356046328
4;36;1;22365265026
5;36;1;26409781215
6;36;1;26017925552
7;36;1;26169323293
8;36;1;29375448542
9;36;1;29102772799
10;36;1;32357345501
11;36;1;34989493826
12;36;1;30928653814
13;36;1;32643697596
14;36;1;35009262788
15;36;1;38694095651
16;36;1;38760467033
1;37;1;1955347004963
2;37;1;2285965892361
3;37;1;2752131773355
4;37;1;3550342425238
5;37;1;4594306848763
6;37;1;5101702432883
7;37;1;6087164527421
8;37;1;7551500425598
9;37;1;8532230724142
10;37;1;9570405758740
11;37;1;10475682846632
12;37;1;11061552790044
13;37;1;11233277146512
14;37;1;12310408652424
15;37;1;13894817110036
16;37;1;14342902842916
1;38;1;117081522238
2;38;1;145619193046
3;38;1;161618580753
4;38;1;206181823188
5;38;1;242186949773
6;38;1;232397835356
7;38;1;286563099757
8;38;1;334943877377
9;38;1;370921317943
10;38;1;382116120909
11;38;1;381112110485
12;38;1;293481753079
13;38;1;282825012368
14;38;1;311883730442
15;38;1;333568926393
16;38;1;323802808108
1;39;1;18528955525
2;39;1;19948261084
3;39;1;22602721765
4;39;1;26743972564
5;39;1;30612927059
6;39;1;30562361123
7;39;1;37268614024
8;39;1;42262697840
9;39;1;46473128286
10;39;1;49745088112
11;39;1;50577769838
12;39;1;54775994479
13;39;1;57157992434
14;39;1;58481858043
15;39;1;60553901420
16;39;1;61773944174
1;40;1;38203000000
2;40;1;42643836100
3;40;1;52742800000
4;40;1;58603900000
5;40;1;60806300000
6;40;1;62080000000
7;40;1;64328000000
8;40;1;68990000000
9;40;1;73141000000
10;40;1;77148000000
11;40;1;80656000000
12;40;1;87133000000
13;40;1;91370000000
14;40;1;96851000000
15;40;1;100023000000
16;40;1;0
1;41;1;924318491
2;41;1;971977088
3;41;1;1107891063
4;41;1;1513933983
5;41;1;1789333749
6;41;1;1711817182
7;41;1;1664310770
8;41;1;1865915544
9;41;1;1741809809
10;41;1;1850470042
11;41;1;1859898513
12;41;1;1596800287
13;41;1;1662998678
14;41;1;1769787215
15;41;1;1966983316
16;41;1;1981845741
1;42;1;17320552500
2;42;1;18433411267
3;42;1;20072786351
4;42;1;23968764030
5;42;1;27844698989
6;42;1;25945391775
7;42;1;25732432719
8;42;1;27565469098
9;42;1;24978513427
10;42;1;23900872626
11;42;1;23128114787
12;42;1;19779150116
13;42;1;20890936462
14;42;1;22638608224
15;42;1;24961995749
16;42;1;24564647935
1;43;1;119162172468
2;43;1;136280689891
3;43;1;155463807113
4;43;1;189227050760
5;43;1;235718586901
6;43;1;206179982164
7;43;1;207477857919
8;43;1;227948349666
9;43;1;207376427021
10;43;1;209402444996
11;43;1;207818330724
12;43;1;186829940546
13;43;1;195090272403
14;43;1;215913545038
15;43;1;244987409831
16;43;1;246489245495
1;44;1;2809187981127
2;44;1;2845802760851
3;44;1;2992196713085
4;44;1;3421229126745
5;44;1;3730027830672
6;44;1;3397791053070
7;44;1;3396354075664
8;44;1;3744408602684
9;44;1;3527344944140
10;44;1;3732743446219
11;44;1;3883920155292
12;44;1;3360549973889
13;44;1;3466790065012
14;44;1;3665804120835
15;44;1;3949548833953
16;44;1;3845630030824
1;45;1;666072102
2;45;1;708633195
3;45;1;768873684
4;45;1;847918929
5;45;1;999105339
6;45;1;1049110685
7;45;1;1128611700
8;45;1;1239144502
9;45;1;1353632942
10;45;1;2042817163
11;45;1;2214681574
12;45;1;2430287967
13;45;1;2603554907
14;45;1;2751461056
15;45;1;3012820410
16;45;1;3318716359
1;46;1;251373002954
2;46;1;264467336457
3;46;1;282884947703
4;46;1;319423424509
5;46;1;353361038818
6;46;1;321241303699
7;46;1;321995279402
8;46;1;344003137611
9;46;1;327148943812
10;46;1;343584391648
11;46;1;352993631618
12;46;1;302673068766
13;46;1;313115929314
14;46;1;329417067128
15;46;1;355675329086
16;46;1;348078018464
1;47;1;367199111
2;47;1;364255074
3;47;1;390250148
4;47;1;421375852
5;47;1;458190185
6;47;1;489074333
7;47;1;493825926
8;47;1;501025926
9;47;1;485996296
10;47;1;498296296
11;47;1;520207407
12;47;1;540737037
13;47;1;576229630
14;47;1;519837037
15;47;1;550892593
16;47;1;596033333
1;48;1;22692574473
2;48;1;36119047252
3;48;1;38116351526
4;48;1;43965420072
5;48;1;48122547177
6;48;1;48261033298
7;48;1;53860175556
8;48;1;58029750746
9;48;1;60681537196
10;48;1;62682163837
11;48;1;67179914027
12;48;1;71164825257
13;48;1;75704720190
14;48;1;79997975622
15;48;1;85555378043
16;48;1;88941298258
1;49;1;85324767230
2;49;1;103198442061
3;49;1;117025435464
4;49;1;134977284666
5;49;1;171000637941
6;49;1;137210691642
7;49;1;161207754147
8;49;1;200019468616
9;49;1;209060307470
10;49;1;209754763861
11;49;1;213808808747
12;49;1;165979418302
13;49;1;160033844071
14;49;1;167389364981
15;49;1;173757952824
16;49;1;169988236398
1;50;1;36591661000
2;50;1;41507085000
3;50;1;46802044000
4;50;1;51007777000
5;50;1;61762635000
6;50;1;62519686000
7;50;1;69555367000
8;50;1;79276664000
9;50;1;87924544000
10;50;1;95129659000
11;50;1;101726331000
12;50;1;99290381000
13;50;1;99937696000
14;50;1;104295862000
15;50;1;107562008000
16;50;1;107435665000
1;51;1;12144397516
2;51;1;14098326328
3;51;1;17012321791
4;51;1;22445582946
5;51;1;24371299985
6;51;1;19744110447
7;51;1;19693608687
8;51;1;23391529311
9;51;1;23192709239
10;51;1;25271407239
11;51;1;26773472962
12;51;1;23048864243
13;51;1;23996451498
14;51;1;26859101054
15;51;1;30747159198
16;51;1;31386949981
1;52;1;78845185293
2;52;1;89685725230
3;52;1;107484034871
4;52;1;130478960092
5;52;1;162818181818
6;52;1;188982374701
7;52;1;218888324505
8;52;1;236001858960
9;52;1;279372758362
10;52;1;288586231502
11;52;1;305529656458
12;52;1;332698041031
13;52;1;332927833278
14;52;1;235369129338
15;52;1;250894760351
16;52;1;303175127598
1;53;1;1109054005
2;53;1;1098425901
3;53;1;1211161880
4;53;1;1317974491
5;53;1;1380188800
6;53;1;1856695551
7;53;1;1589515447
8;53;1;2065001626
9;53;1;0
10;53;1;0
11;53;1;0
12;53;1;0
13;53;1;0
14;53;1;0
15;53;1;0
16;53;1;0
1;54;1;1067093369754
2;54;1;1153285660987
3;54;1;1259343871534
4;54;1;1472131125103
5;54;1;1625224842537
6;54;1;1485583495415
7;54;1;1420722034063
8;54;1;1478772824224
9;54;1;1324820091195
10;54;1;1354757433213
11;54;1;1369398844600
12;54;1;1195119269972
13;54;1;1232076017362
14;54;1;1312551705955
15;54;1;1419735245005
16;54;1;1394116310769
1;55;1;10131187261
2;55;1;12401139454
3;55;1;15280861835
4;55;1;19707616773
5;55;1;27066912635
6;55;1;32437389116
7;55;1;29933790334
8;55;1;31952763089
9;55;1;43310721414
10;55;1;47648211133
11;55;1;55612228234
12;55;1;64589334979
13;55;1;74296618481
14;55;1;81770791971
15;55;1;84269348327
16;55;1;96107662398
1;56;1;197116960517
2;56;1;204809103345
3;56;1;216907539832
4;56;1;256052559540
5;56;1;284553976857
6;56;1;252496526813
7;56;1;249181190476
8;56;1;275243697751
9;56;1;258304834622
10;56;1;271285280621
11;56;1;274497230803
12;56;1;234440080998
13;56;1;240607907010
14;56;1;255122545771
15;56;1;275893681356
16;56;1;268761201365
1;57;1;2727507213
2;57;1;3006725015
3;57;1;3102741451
4;57;1;3405050612
5;57;1;3523185920
6;57;1;2870624636
7;57;1;3140508836
8;57;1;3774530616
9;57;1;3972012571
10;57;1;4190143206
11;57;1;4856963230
12;57;1;4682546863
13;57;1;4930204230
14;57;1;5353404422
15;57;1;5536759653
16;57;1;5535548972
1;58;1;240236000
2;58;1;250281900
3;58;1;253541900
4;58;1;256787200
5;58;1;263145100
6;58;1;280284600
7;58;1;296944100
8;58;1;311301600
9;58;1;327248700
10;58;1;317214400
11;58;1;319271200
12;58;1;316489900
13;58;1;332265200
14;58;1;366666800
15;58;1;401932300
16;58;1;0
1;59;1;2115742488205
2;59;1;2196126103718
3;59;1;2318593651988
4;59;1;2657213249384
5;59;1;2918382891460
6;59;1;2690222283968
7;59;1;2642609548930
8;59;1;2861408170265
9;59;1;2683825225093
10;59;1;2811077725704
11;59;1;2852165760630
12;59;1;2438207896252
13;59;1;2471285607082
14;59;1;2595151045198
15;59;1;2787863958885
16;59;1;2715518274227
1;60;1;7756293575
2;60;1;9578973591
3;60;1;10318424464
4;60;1;12438956756
5;60;1;15508574820
6;60;1;12065138273
7;60;1;14372591916
8;60;1;18210308748
9;60;1;17170465294
10;60;1;17595745653
11;60;1;18203968002
12;60;1;14383107714
13;60;1;14023890620
14;60;1;14929488771
15;60;1;16862282414
16;60;1;16657960228
1;61;1;2416931526913
2;61;1;2538680000000
3;61;1;2713749770009
4;61;1;3100882352941
5;61;1;2922667279412
6;61;1;2410909799034
7;61;1;2475244321361
8;61;1;2659310054646
9;61;1;2704887678387
10;61;1;2786022872707
11;61;1;3063803240208
12;61;1;2928591002003
13;61;1;2694283209613
14;61;1;2666229179958
15;61;1;2860667727552
16;61;1;2827113184696
1;62;1;599118593
2;62;1;695370296
3;62;1;698700667
4;62;1;758683593
5;62;1;825976037
6;62;1;771275556
7;62;1;771013259
8;62;1;778655926
9;62;1;799882259
10;62;1;842620111
11;62;1;911497407
12;62;1;997007926
13;62;1;1061631222
14;62;1;1125685185
15;62;1;1168696296
16;62;1;1228170370
1;63;1;5125365192
2;63;1;6410823633
3;63;1;7745394293
4;63;1;10172882371
5;63;1;12795076469
6;63;1;10766836277
7;63;1;12243505583
8;63;1;15107441447
9;63;1;16488403076
10;63;1;17189551521
11;63;1;17627003455
12;63;1;14953950557
13;63;1;15141758567
14;63;1;16242916916
15;63;1;17599700091
16;63;1;17743195770
1;64;1;8881368538
2;64;1;10731634117
3;64;1;20409668522
4;64;1;24758819718
5;64;1;28526891010
6;64;1;25977847814
7;64;1;32197272797
8;64;1;39337314810
9;64;1;41270954737
10;64;1;62405374786
11;64;1;53660342160
12;64;1;48564863888
13;64;1;55009730600
14;64;1;58998132330
15;64;1;65556464048
